,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
17,frozenset({'student'}),frozenset({'curriculum'}),0.12213740458015267,0.022900763358778626,0.022900763358778626,0.1875,8.1875,0.020103723559233146,1.2025836758661186
18,frozenset({'develop'}),frozenset({'practic'}),0.11450381679389313,0.15267175572519084,0.022900763358778626,0.2,1.31,0.00541926461161937,1.0591603053435112
19,frozenset({'practic'}),frozenset({'develop'}),0.15267175572519084,0.11450381679389313,0.022900763358778626,0.15,1.31,0.00541926461161937,1.0417602155365964
20,frozenset({'develop'}),frozenset({'research'}),0.11450381679389313,0.09923664122137404,0.03816793893129771,0.33333333333333337,3.3589743589743595,0.026804964745644193,1.3511450381679388
21,frozenset({'research'}),frozenset({'develop'}),0.09923664122137404,0.11450381679389313,0.03816793893129771,0.38461538461538464,3.3589743589743595,0.026804964745644193,1.4389312977099236
22,frozenset({'develop'}),frozenset({'student'}),0.11450381679389313,0.12213740458015267,0.030534351145038167,0.26666666666666666,2.1833333333333336,0.016549152147310762,1.1970853573907008
23,frozenset({'student'}),frozenset({'develop'}),0.12213740458015267,0.11450381679389313,0.030534351145038167,0.25,2.1833333333333336,0.016549152147310762,1.1806615776081426
24,frozenset({'practic'}),frozenset({'disciplinespecif'}),0.15267175572519084,0.015267175572519083,0.015267175572519083,0.09999999999999999,6.55,0.01293630907289785,1.094147582697201
25,frozenset({'disciplinespecif'}),frozenset({'practic'}),0.015267175572519083,0.15267175572519084,0.015267175572519083,1.0,6.55,0.01293630907289785,inf
26,frozenset({'environment'}),frozenset({'ecosystem'}),0.030534351145038167,0.015267175572519083,0.015267175572519083,0.5,32.75,0.014801002272594836,1.9694656488549618
27,frozenset({'ecosystem'}),frozenset({'environment'}),0.015267175572519083,0.030534351145038167,0.015267175572519083,1.0,32.75,0.014801002272594836,inf
28,frozenset({'entrepreneurship'}),frozenset({'entrepreneuri'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
29,frozenset({'entrepreneuri'}),frozenset({'entrepreneurship'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
30,frozenset({'research'}),frozenset({'fieldwork'}),0.09923664122137404,0.022900763358778626,0.015267175572519083,0.15384615384615385,6.717948717948718,0.01299458073538838,1.1547536433032617
31,frozenset({'fieldwork'}),frozenset({'research'}),0.022900763358778626,0.09923664122137404,0.015267175572519083,0.6666666666666666,6.717948717948718,0.01299458073538838,2.7022900763358773
32,frozenset({'health'}),frozenset({'healthhealth'}),0.061068702290076333,0.015267175572519083,0.015267175572519083,0.25,16.375,0.014334828972670589,1.3129770992366412
33,frozenset({'healthhealth'}),frozenset({'health'}),0.015267175572519083,0.061068702290076333,0.015267175572519083,1.0,16.375,0.014334828972670589,inf
